open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
2025-01-06 14:00:00+00:00,99452.4,101250.0,98670.0,100702.1,33601.239,2025-01-06 14:59:59.999000+00:00,3362164847.2805,548207,18504.258,1852080253.5401,0
2025-01-06 15:00:00+00:00,100702.0,102443.9,100413.1,102104.5,32040.561,2025-01-06 15:59:59.999000+00:00,3253887648.7542,589205,16454.629,1671393838.4026,0
2025-01-06 16:00:00+00:00,102104.5,102444.0,101700.0,102116.6,17576.511,2025-01-06 16:59:59.999000+00:00,1795059198.4588,326447,8193.003,836845373.7765,0
2025-01-06 17:00:00+00:00,102116.5,102116.6,101223.0,101795.3,11197.633,2025-01-06 17:59:59.999000+00:00,1138362189.7386,223191,5503.076,559444239.1138,0
2025-01-06 18:00:00+00:00,101795.2,102023.9,101520.0,101701.6,6124.912,2025-01-06 18:59:59.999000+00:00,623668081.4117,139752,3043.358,309918583.1647,0
2025-01-06 19:00:00+00:00,101701.7,101999.4,101586.7,101771.7,3487.781,2025-01-06 19:59:59.999000+00:00,355123260.29,99544,1937.298,197289390.0632,0
2025-01-06 20:00:00+00:00,101771.7,102288.0,101756.1,102075.5,6179.337,2025-01-06 20:59:59.999000+00:00,630545312.0014,142338,3194.84,325981938.0883,0
2025-01-06 21:00:00+00:00,102075.5,102298.8,101551.2,101566.5,4446.022,2025-01-06 21:59:59.999000+00:00,453190315.1199,106275,2220.519,226345537.6568,0
2025-01-06 22:00:00+00:00,101566.6,102047.4,101560.0,101966.0,2678.802,2025-01-06 22:59:59.999000+00:00,272730422.1295,62673,1547.392,157508656.9759,0
2025-01-06 23:00:00+00:00,101965.9,102200.0,101852.1,102180.4,2612.703,2025-01-06 23:59:59.999000+00:00,266620654.2203,68905,1262.745,128866008.7917,0
2025-01-07 00:00:00+00:00,102180.5,102762.1,101890.3,102004.7,8901.098,2025-01-07 00:59:59.999000+00:00,910248321.6417,167234,4843.392,495465777.8992,0
2025-01-07 01:00:00+00:00,102004.6,102028.2,101646.2,101873.9,3960.943,2025-01-07 01:59:59.999000+00:00,403358353.6557,91195,1934.49,196991901.3551,0
2025-01-07 02:00:00+00:00,101873.9,101979.9,101608.5,101627.7,2225.27,2025-01-07 02:59:59.999000+00:00,226520300.4309,58600,973.869,99136075.3993,0
2025-01-07 03:00:00+00:00,101627.7,101785.7,101459.4,101661.3,3037.024,2025-01-07 03:59:59.999000+00:00,308667349.2892,70786,1691.138,171887983.4244,0
2025-01-07 04:00:00+00:00,101661.4,101885.0,101610.4,101610.7,1978.308,2025-01-07 04:59:59.999000+00:00,201329415.639,46549,970.775,98804474.2134,0
2025-01-07 05:00:00+00:00,101610.8,101749.0,101528.8,101698.8,2940.368,2025-01-07 05:59:59.999000+00:00,298900569.4849,48732,1159.159,117837130.2348,0
2025-01-07 06:00:00+00:00,101698.8,101857.9,101596.4,101771.0,1821.642,2025-01-07 06:59:59.999000+00:00,185356106.0881,43886,975.124,99223879.9497,0
2025-01-07 07:00:00+00:00,101771.1,101986.1,101600.9,101649.3,2847.376,2025-01-07 07:59:59.999000+00:00,289804026.4785,57828,1369.89,139442663.0176,0
2025-01-07 08:00:00+00:00,101649.3,101973.1,101580.0,101862.0,3170.205,2025-01-07 08:59:59.999000+00:00,322627872.077,71451,1642.533,167160527.2744,0
2025-01-07 09:00:00+00:00,101862.1,101888.7,101600.1,101682.6,2376.418,2025-01-07 09:59:59.999000+00:00,241707800.4274,53147,1167.075,118699255.0469,0
2025-01-07 10:00:00+00:00,101682.7,101682.7,101333.0,101366.9,5575.765,2025-01-07 10:59:59.999000+00:00,565713694.2644,92586,2269.891,230288547.4948,0
2025-01-07 11:00:00+00:00,101366.8,101430.8,100435.4,100787.0,16121.918,2025-01-07 11:59:59.999000+00:00,1625923738.7811,241385,7277.699,733840856.2189,0
2025-01-07 12:00:00+00:00,100787.0,100907.6,100580.0,100712.3,5999.358,2025-01-07 12:59:59.999000+00:00,604510392.6931,117667,2957.688,298019510.3409,0
2025-01-07 13:00:00+00:00,100712.4,100914.2,100558.4,100590.0,4533.964,2025-01-07 13:59:59.999000+00:00,456695098.0201,93480,2291.357,230827638.2819,0
2025-01-07 14:00:00+00:00,100590.1,100833.1,99702.0,99945.3,19328.557,2025-01-07 14:59:59.999000+00:00,1939247243.9332,320131,9005.296,903840058.2025,0
2025-01-07 15:00:00+00:00,99945.3,100114.5,97100.0,97915.3,72710.75,2025-01-07 15:59:59.999000+00:00,7159823173.1938,1023902,34694.068,3416658468.8394,0
2025-01-07 16:00:00+00:00,97915.4,98307.9,97529.1,97706.3,17474.518,2025-01-07 16:59:59.999000+00:00,1710731925.1022,354393,8919.394,873280079.0459,0
2025-01-07 17:00:00+00:00,97706.4,97775.0,96530.8,97250.9,24988.588,2025-01-07 17:59:59.999000+00:00,2428113468.9797,383163,11533.114,1121007079.4711,0
2025-01-07 18:00:00+00:00,97250.8,97514.7,96579.0,96729.2,13023.463,2025-01-07 18:59:59.999000+00:00,1263640742.1065,248427,6363.924,617490414.3946,0
2025-01-07 19:00:00+00:00,96729.1,97170.0,96295.9,96433.3,12948.291,2025-01-07 19:59:59.999000+00:00,1251983479.6824,232867,6165.052,596293287.4171,0
2025-01-07 20:00:00+00:00,96433.3,96849.5,96153.0,96504.8,14468.548,2025-01-07 20:59:59.999000+00:00,1395142590.6246,275779,7131.735,687777817.7156,0
2025-01-07 21:00:00+00:00,96504.7,97074.3,96358.7,96475.7,8239.74,2025-01-07 21:59:59.999000+00:00,797017622.0499,159847,4105.095,397074981.547,0
2025-01-07 22:00:00+00:00,96475.7,97185.8,96377.5,97128.8,4904.63,2025-01-07 22:59:59.999000+00:00,475222557.327,107430,2346.359,227333029.7723,0
2025-01-07 23:00:00+00:00,97128.8,97137.0,96758.7,96920.3,5134.567,2025-01-07 23:59:59.999000+00:00,497715281.2576,108568,2414.046,233998258.3116,0
2025-01-08 00:00:00+00:00,96920.2,97242.2,96669.4,97228.0,6054.329,2025-01-08 00:59:59.999000+00:00,587002613.8119,115989,3040.443,294821119.8915,0
2025-01-08 01:00:00+00:00,97228.0,97228.1,96571.0,96867.0,4225.599,2025-01-08 01:59:59.999000+00:00,409369135.2569,104704,1902.692,184324255.75,0
2025-01-08 02:00:00+00:00,96867.1,97143.9,96736.4,96829.7,3389.991,2025-01-08 02:59:59.999000+00:00,328754469.2927,79242,1562.136,151510729.4357,0
2025-01-08 03:00:00+00:00,96829.7,96830.1,96200.0,96504.1,8920.271,2025-01-08 03:59:59.999000+00:00,860657534.4351,182952,4395.334,424058374.9777,0
2025-01-08 04:00:00+00:00,96504.1,96600.0,96010.0,96248.9,7297.081,2025-01-08 04:59:59.999000+00:00,702692114.0049,151220,3385.494,326091600.2149,0
2025-01-08 05:00:00+00:00,96248.9,96616.3,96069.2,96454.6,5062.71,2025-01-08 05:59:59.999000+00:00,488029005.2985,117601,2499.452,240975945.0076,0
2025-01-08 06:00:00+00:00,96454.7,96605.5,95225.3,95267.9,17436.014,2025-01-08 06:59:59.999000+00:00,1668943977.1358,282006,6937.613,664019963.955,0
2025-01-08 07:00:00+00:00,95267.8,95798.0,95222.0,95628.4,8582.64,2025-01-08 07:59:59.999000+00:00,819609849.1599,174280,4416.68,421823705.0565,0
2025-01-08 08:00:00+00:00,95628.3,96100.0,95500.0,95910.9,6308.108,2025-01-08 08:59:59.999000+00:00,604606770.723,126855,3043.629,291744341.7118,0
