time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore,symbol,funding_rate,mark_price,return_1h,future_return_1h,future_return_4h,future_return_8h,funding_rate_diff,funding_rate_ma3
2025-03-25 14:00:00+00:00,87547.1,88186.0,87280.0,87962.3,13880.885,2025-03-25 14:59:59.999000+00:00,1218493062.6826,242560,7081.793,621751889.5641,0,BTCUSDT,-2.47e-06,87463.3,0.004743737649491209,-0.0027204836617505945,-0.002169111085089881,-0.006249268152378917,0.0,-2.47e-06
2025-03-25 15:00:00+00:00,87962.2,88221.0,87660.0,87723.0,8627.178,2025-03-25 15:59:59.999000+00:00,758328538.8128,149087,4013.855,352817542.9076,0,BTCUSDT,-2.47e-06,87463.3,-0.0027204836617505945,0.0002792882140374431,0.003743602019994796,-0.0040263100897142134,0.0,-2.47e-06
2025-03-25 16:00:00+00:00,87723.0,87926.0,87581.3,87747.5,5411.357,2025-03-25 16:59:59.999000+00:00,474774081.2239,106434,2862.787,251184351.5398,0,BTCUSDT,-2.47e-06,87463.3,0.0002792882140374431,0.001568135844326024,0.0006495911564432522,-0.001589788882874199,0.0,-2.47e-06
2025-03-25 17:00:00+00:00,87747.6,88284.0,87747.6,87885.1,7441.613,2025-03-25 17:59:59.999000+00:00,655143570.5225,120028,3745.545,329768942.0153,0,BTCUSDT,-2.47e-06,87463.3,0.001568135844326024,-0.0012925968110636399,-0.002065196489507315,-0.0010365807173230435,0.0,-2.47e-06
2025-03-25 18:00:00+00:00,87885.0,88010.5,87532.3,87771.5,4585.271,2025-03-25 18:59:59.999000+00:00,402267065.0377,87540,2197.721,192835266.9987,0,BTCUSDT,-2.47e-06,87463.3,-0.0012925968110636399,0.0031889622485659075,-0.004089026620258229,-0.005539383512871421,0.0,-2.47e-06
2025-03-25 19:00:00+00:00,87771.5,88217.6,87762.3,88051.4,6037.23,2025-03-25 19:59:59.999000+00:00,531271780.0043,106230,2793.599,245814379.7278,0,BTCUSDT,-2.47e-06,87463.3,0.0031889622485659075,-0.0028040440015717483,-0.007740933136781369,-0.010571098244888666,0.0,-2.47e-06
2025-03-25 20:00:00+00:00,88054.0,88500.0,87740.0,87804.5,11437.959,2025-03-25 20:59:59.999000+00:00,1008560904.2812,157315,5847.223,515810641.8645,0,BTCUSDT,-2.47e-06,87463.3,-0.0028040440015717483,-0.001149143836591482,-0.002237926302182669,-0.005950720065600268,0.0,-2.47e-06
2025-03-25 21:00:00+00:00,87804.6,88150.0,87651.2,87703.6,4302.964,2025-03-25 21:59:59.999000+00:00,378299506.8105,74494,1929.274,169655712.0296,0,BTCUSDT,-2.47e-06,87463.3,-0.001149143836591482,-0.0033179937881683275,0.0010307444620287765,-0.002549496257850392,0.0,-2.47e-06
2025-03-25 22:00:00+00:00,87703.6,87755.9,87110.1,87412.6,8870.629,2025-03-25 22:59:59.999000+00:00,775585988.7542,122474,4185.164,365947818.9096,0,BTCUSDT,-2.47e-06,87463.3,-0.0033179937881683275,-0.0004896319294930285,-0.0014563117902911538,0.005096519266101218,0.0,-2.47e-06
2025-03-25 23:00:00+00:00,87412.7,87466.3,87079.0,87369.8,5250.286,2025-03-25 23:59:59.999000+00:00,458260640.2978,89270,2910.856,254049881.5692,0,BTCUSDT,-2.47e-06,87463.3,-0.0004896319294930285,0.0027263425119434803,-0.002852244139279203,0.008434264471247399,0.0,-2.47e-06
